TransactionID,ClientID,ChannelID,Amount,PaymentMethod,PaymentDate,Month
TXN00075,7,5,3645.92,Credit Card,2024-03-30,Mar 2024
TXN00076,5,2,6015.6,PayNow,2024-01-30,Jan 2024
TXN00077,2,5,4628.36,PayNow,2024-01-10,Jan 2024
TXN00078,2,4,9045.29,Bank Transfer,2024-04-21,Apr 2024
TXN00079,1,4,516.07,Bank Transfer,2024-03-06,Mar 2024
TXN00080,7,1,9514.31,PayNow,2024-04-03,Apr 2024
TXN00081,2,3,5317.66,PayPal,2024-03-21,Mar 2024
TXN00082,7,3,5766.92,Bank Transfer,2024-03-24,Mar 2024
TXN00083,7,2,6347.39,PayNow,2024-04-17,Apr 2024
TXN00084,1,3,3225.68,PayPal,2024-04-13,Apr 2024
TXN00085,6,4,4696.97,Bank Transfer,2024-05-28,May 2024
TXN00086,8,2,6759.08,PayNow,2024-05-10,May 2024
TXN00087,6,1,8275.02,Bank Transfer,2024-05-11,May 2024
TXN00088,4,2,1899.86,Credit Card,2024-03-20,Mar 2024
TXN00089,8,5,8572.51,Credit Card,2024-03-03,Mar 2024
TXN00090,7,5,2347.13,PayPal,2024-04-26,Apr 2024
TXN00091,7,2,1901.93,Credit Card,2024-05-06,May 2024
TXN00092,7,2,2170.92,PayPal,2024-01-28,Jan 2024
TXN00093,4,1,4836.39,PayPal,2024-01-13,Jan 2024
TXN00094,6,4,6320.2,PayPal,2024-05-15,May 2024
TXN00095,8,2,7564.73,PayPal,2024-05-20,May 2024
TXN00096,5,2,8478.7,PayNow,2024-04-25,Apr 2024
TXN00097,8,2,3108.68,Credit Card,2024-05-13,May 2024
TXN00098,4,3,3690.55,Credit Card,2024-03-14,Mar 2024
TXN00099,3,2,4138.84,Bank Transfer,2024-02-05,Feb 2024
TXN00100,2,4,4372.19,PayPal,2024-02-24,Feb 2024
TXN00101,1,2,8412.47,PayPal,2024-04-16,Apr 2024
TXN00102,1,5,4113.62,Credit Card,2024-05-29,May 2024
TXN00103,5,4,8607.76,PayPal,2024-03-31,Mar 2024
TXN00104,4,4,2584.51,PayPal,2024-05-17,May 2024
TXN00105,1,4,3693.23,PayPal,2024-05-04,May 2024
TXN00106,8,2,9816.86,Credit Card,2024-02-12,Feb 2024
TXN00107,1,1,6606.12,Bank Transfer,2024-04-10,Apr 2024
TXN00108,3,1,2971.48,PayNow,2024-04-28,Apr 2024
TXN00109,8,3,3706.26,PayPal,2024-02-24,Feb 2024
TXN00110,7,3,8431.65,PayPal,2024-03-12,Mar 2024
TXN00111,1,3,2630.11,Credit Card,2024-01-05,Jan 2024
TXN00112,1,2,2393.93,Credit Card,2024-01-11,Jan 2024
TXN00113,4,2,4998.83,Credit Card,2024-02-09,Feb 2024
TXN00114,4,4,7144.92,PayNow,2024-05-24,May 2024
TXN00115,2,2,9664.85,Credit Card,2024-02-12,Feb 2024
TXN00116,1,3,5970.07,PayPal,2024-05-28,May 2024
TXN00117,4,1,6124.93,Bank Transfer,2024-04-11,Apr 2024
TXN00118,5,5,8152.52,Credit Card,2024-01-27,Jan 2024
TXN00119,7,3,1155.09,PayNow,2024-03-29,Mar 2024
TXN00120,7,4,1502.62,PayNow,2024-01-04,Jan 2024
TXN00121,3,4,2173.3,PayNow,2024-04-27,Apr 2024
TXN00122,8,4,4637.96,PayNow,2024-05-17,May 2024
TXN00123,4,1,3149.82,PayPal,2024-03-23,Mar 2024
TXN00124,8,5,6298.15,PayPal,2024-03-03,Mar 2024
TXN00125,1,4,8584.05,Bank Transfer,2024-03-27,Mar 2024
TXN00126,4,3,8079.41,PayNow,2024-05-04,May 2024
TXN00127,5,5,596.44,Bank Transfer,2024-03-12,Mar 2024
TXN00128,4,4,5141.49,Bank Transfer,2024-01-22,Jan 2024
TXN00129,8,4,8032.86,Credit Card,2024-05-01,May 2024
TXN00130,4,4,7071.98,PayNow,2024-03-16,Mar 2024
TXN00131,6,4,5757.99,PayNow,2024-05-28,May 2024
TXN00132,6,3,7177.12,PayNow,2024-04-18,Apr 2024
TXN00133,5,2,1646.23,Bank Transfer,2024-03-19,Mar 2024
TXN00134,2,5,9533.34,Bank Transfer,2024-03-21,Mar 2024
TXN00135,4,4,3126.75,PayNow,2024-02-19,Feb 2024
TXN00136,4,3,2661.09,Bank Transfer,2024-01-26,Jan 2024
TXN00137,1,5,1702.54,Credit Card,2024-03-18,Mar 2024
TXN00138,5,2,6559.76,PayPal,2024-01-14,Jan 2024
TXN00139,1,5,3201.22,PayPal,2024-01-27,Jan 2024
TXN00140,6,2,9672.23,PayNow,2024-04-22,Apr 2024
TXN00141,2,1,4306.72,Credit Card,2024-05-02,May 2024
TXN00142,1,2,1917.38,PayNow,2024-05-27,May 2024
TXN00143,4,1,5801.69,PayPal,2024-01-22,Jan 2024
TXN00144,7,4,9130.79,PayNow,2024-02-27,Feb 2024
TXN00145,7,3,5901.98,Credit Card,2024-05-30,May 2024
TXN00146,4,2,3014.14,Credit Card,2024-01-26,Jan 2024
TXN00147,4,2,5743.93,Bank Transfer,2024-02-10,Feb 2024
TXN00148,7,4,7049.03,PayPal,2024-01-01,Jan 2024
TXN00149,1,2,3237.0,PayNow,2024-03-15,Mar 2024
TXN00150,2,2,9277.15,Bank Transfer,2024-04-26,Apr 2024
TXN00151,2,5,2635.69,Bank Transfer,2024-04-18,Apr 2024
TXN00152,3,1,1066.56,PayNow,2024-03-09,Mar 2024
TXN00153,5,4,1681.36,PayNow,2024-05-25,May 2024
TXN00154,5,5,5629.82,PayPal,2024-04-13,Apr 2024
TXN00155,1,4,7478.07,PayNow,2024-01-21,Jan 2024
TXN00156,2,2,9638.16,Credit Card,2024-01-07,Jan 2024
TXN00157,1,2,4969.76,PayPal,2024-03-09,Mar 2024
TXN00158,3,5,4640.91,PayPal,2024-03-12,Mar 2024
TXN00159,8,3,4379.31,PayNow,2024-01-24,Jan 2024
TXN00160,3,3,4410.63,PayPal,2024-01-27,Jan 2024
TXN00161,7,5,848.62,Credit Card,2024-03-14,Mar 2024
TXN00162,5,3,1601.26,PayPal,2024-03-21,Mar 2024
TXN00163,1,5,4888.78,Credit Card,2024-05-11,May 2024
TXN00164,6,5,7686.21,PayPal,2024-02-18,Feb 2024
TXN00165,4,3,5717.59,PayNow,2024-01-14,Jan 2024
TXN00166,8,1,774.26,Bank Transfer,2024-04-22,Apr 2024
TXN00167,5,5,629.91,PayPal,2024-02-10,Feb 2024
TXN00168,4,1,4883.75,Credit Card,2024-01-24,Jan 2024
TXN00169,8,3,5334.28,PayNow,2024-02-09,Feb 2024
TXN00170,8,4,2815.44,Bank Transfer,2024-04-16,Apr 2024
TXN00171,4,5,5328.29,Bank Transfer,2024-04-08,Apr 2024
TXN00172,5,4,3728.81,PayNow,2024-01-18,Jan 2024
TXN00173,5,3,8456.02,PayPal,2024-01-01,Jan 2024
TXN00174,8,5,5101.24,PayNow,2024-02-08,Feb 2024
TXN00175,7,4,9362.1,Bank Transfer,2024-05-21,May 2024
TXN00176,7,2,8632.12,PayPal,2024-03-02,Mar 2024
TXN00177,6,4,7199.66,PayPal,2024-01-12,Jan 2024
TXN00178,3,4,9665.83,Bank Transfer,2024-04-08,Apr 2024
TXN00179,6,1,8804.81,PayPal,2024-05-08,May 2024
TXN00180,8,1,7363.22,PayPal,2024-01-26,Jan 2024
TXN00181,2,4,7924.49,PayNow,2024-02-09,Feb 2024
TXN00182,7,1,8591.77,PayPal,2024-03-27,Mar 2024
TXN00183,8,5,841.04,Credit Card,2024-03-22,Mar 2024
TXN00184,5,2,7594.28,PayPal,2024-03-01,Mar 2024
TXN00185,2,4,2080.47,PayNow,2024-01-26,Jan 2024
TXN00186,1,3,8063.36,PayNow,2024-01-08,Jan 2024
TXN00187,6,4,1882.91,PayPal,2024-04-01,Apr 2024
TXN00188,3,2,2163.16,PayPal,2024-05-24,May 2024
TXN00189,8,5,1859.62,PayPal,2024-03-02,Mar 2024
TXN00190,8,3,6834.99,PayPal,2024-03-06,Mar 2024
TXN00191,3,1,4696.43,PayNow,2024-03-14,Mar 2024
TXN00192,5,4,7057.98,PayPal,2024-05-30,May 2024
TXN00193,4,4,8606.69,Credit Card,2024-03-18,Mar 2024
TXN00194,7,5,3910.11,PayNow,2024-03-01,Mar 2024
TXN00195,1,4,3107.56,Credit Card,2024-03-16,Mar 2024
TXN00196,5,2,6267.12,PayNow,2024-05-07,May 2024
TXN00197,4,5,2880.95,Bank Transfer,2024-02-26,Feb 2024
TXN00198,1,3,7991.8,Credit Card,2024-01-25,Jan 2024
TXN00199,6,2,1356.27,PayNow,2024-05-28,May 2024
TXN00200,7,2,2407.55,PayNow,2024-03-24,Mar 2024
TXN00201,5,2,2941.22,PayPal,2024-05-15,May 2024
TXN00202,6,1,4949.15,Credit Card,2024-03-16,Mar 2024
TXN00203,4,4,9689.06,PayNow,2024-02-06,Feb 2024
TXN00204,7,1,3012.36,Credit Card,2024-01-24,Jan 2024
TXN00205,6,3,6053.32,PayNow,2024-04-26,Apr 2024
TXN00206,4,4,737.73,PayNow,2024-01-28,Jan 2024
TXN00207,2,4,9139.18,PayNow,2024-02-26,Feb 2024
TXN00208,2,2,930.79,Credit Card,2024-04-14,Apr 2024
TXN00209,8,1,1423.32,Bank Transfer,2024-03-18,Mar 2024
TXN00210,8,3,6869.62,PayPal,2024-04-09,Apr 2024
TXN00211,3,4,6721.76,PayPal,2024-05-30,May 2024
TXN00212,5,1,7057.67,Bank Transfer,2024-04-14,Apr 2024
TXN00213,8,2,8626.78,Credit Card,2024-04-23,Apr 2024
TXN00214,6,1,4282.33,Bank Transfer,2024-04-04,Apr 2024
TXN00215,8,1,6796.3,Credit Card,2024-02-01,Feb 2024
TXN00216,6,2,9893.8,Bank Transfer,2024-01-13,Jan 2024
TXN00217,4,5,2551.54,Bank Transfer,2024-01-18,Jan 2024
TXN00218,3,5,526.94,Bank Transfer,2024-03-25,Mar 2024
TXN00219,5,2,1544.3,Credit Card,2024-02-03,Feb 2024
TXN00220,1,3,8004.85,Bank Transfer,2024-02-03,Feb 2024
TXN00221,6,1,2155.34,Credit Card,2024-05-30,May 2024
TXN00222,7,5,1579.67,Credit Card,2024-02-02,Feb 2024
TXN00223,8,3,5375.76,Credit Card,2024-05-01,May 2024
TXN00224,4,5,911.97,PayNow,2024-04-25,Apr 2024
TXN00225,1,1,9986.57,PayPal,2024-04-27,Apr 2024
TXN00226,2,4,7267.81,PayPal,2024-04-19,Apr 2024
TXN00227,2,3,6278.83,Credit Card,2024-01-19,Jan 2024
TXN00228,5,5,6514.23,PayNow,2024-02-02,Feb 2024
TXN00229,5,4,5302.74,PayPal,2024-04-07,Apr 2024
TXN00230,2,5,7347.98,Bank Transfer,2024-01-26,Jan 2024
TXN00231,8,2,4431.23,PayPal,2024-04-20,Apr 2024
TXN00232,7,1,3469.21,PayNow,2024-04-12,Apr 2024
TXN00233,6,2,7024.8,PayPal,2024-03-06,Mar 2024
TXN00234,2,1,1385.69,Credit Card,2024-01-18,Jan 2024
TXN00235,3,5,1069.82,PayNow,2024-04-05,Apr 2024
TXN00236,7,3,8799.27,PayPal,2024-02-01,Feb 2024
TXN00237,5,5,3468.26,Credit Card,2024-01-14,Jan 2024
TXN00238,4,2,6738.99,Bank Transfer,2024-05-27,May 2024
TXN00239,6,5,3991.83,PayNow,2024-01-28,Jan 2024
TXN00240,4,4,8528.97,Credit Card,2024-05-26,May 2024
TXN00241,1,2,3096.07,PayNow,2024-03-09,Mar 2024
TXN00242,6,1,2223.35,Bank Transfer,2024-03-27,Mar 2024
TXN00243,7,1,1847.81,Credit Card,2024-05-24,May 2024
TXN00244,4,4,4488.41,PayNow,2024-01-24,Jan 2024
TXN00245,6,3,7355.16,Credit Card,2024-02-10,Feb 2024
TXN00246,3,2,7667.14,Credit Card,2024-01-14,Jan 2024
TXN00247,5,4,6788.42,PayPal,2024-01-21,Jan 2024
TXN00248,7,3,2547.91,Credit Card,2024-04-23,Apr 2024
TXN00249,7,1,3190.84,PayPal,2024-03-29,Mar 2024
TXN00250,5,1,2594.93,Credit Card,2024-05-14,May 2024
TXN00251,4,3,9480.58,Bank Transfer,2024-01-02,Jan 2024
TXN00252,5,3,1639.85,PayPal,2024-03-06,Mar 2024
TXN00253,3,2,4111.97,Bank Transfer,2024-04-20,Apr 2024
TXN00254,6,1,4272.18,Credit Card,2024-05-08,May 2024
TXN00255,1,4,9251.04,PayNow,2024-04-21,Apr 2024
TXN00256,7,5,4342.02,PayPal,2024-05-27,May 2024
TXN00257,2,4,698.14,PayNow,2024-03-15,Mar 2024
TXN00258,8,3,1337.23,Credit Card,2024-02-13,Feb 2024
TXN00259,7,5,4304.27,Credit Card,2024-03-03,Mar 2024
TXN00260,5,3,2604.93,Bank Transfer,2024-04-11,Apr 2024
TXN00261,2,5,5344.54,PayNow,2024-01-20,Jan 2024
TXN00262,3,2,1476.64,PayNow,2024-03-30,Mar 2024
TXN00263,3,5,1952.26,Credit Card,2024-02-20,Feb 2024
TXN00264,8,4,7667.24,PayPal,2024-02-15,Feb 2024
TXN00265,6,3,1934.1,Credit Card,2024-05-24,May 2024
TXN00266,8,3,8065.13,Credit Card,2024-04-30,Apr 2024
TXN00267,2,3,4886.55,Credit Card,2024-03-31,Mar 2024
TXN00268,6,3,1228.94,Credit Card,2024-01-15,Jan 2024
TXN00269,7,4,6013.13,Credit Card,2024-05-09,May 2024
TXN00270,4,3,6247.56,Bank Transfer,2024-04-25,Apr 2024
TXN00271,8,1,8204.18,PayNow,2024-01-16,Jan 2024
TXN00272,3,1,2853.57,PayPal,2024-01-22,Jan 2024
TXN00273,3,3,4042.09,PayNow,2024-04-22,Apr 2024
TXN00274,7,3,6949.53,Credit Card,2024-04-09,Apr 2024
TXN00275,2,3,1397.81,PayPal,2024-03-26,Mar 2024
TXN00276,5,5,8796.16,PayNow,2024-03-13,Mar 2024
TXN00277,3,3,3447.2,PayPal,2024-01-21,Jan 2024
TXN00278,2,3,5809.76,PayNow,2024-02-03,Feb 2024
TXN00279,2,4,5330.64,Credit Card,2024-02-02,Feb 2024
TXN00280,5,2,9536.11,PayNow,2024-04-02,Apr 2024
TXN00281,4,2,9999.78,Bank Transfer,2024-05-04,May 2024
TXN00282,5,1,5323.05,Credit Card,2024-01-20,Jan 2024
TXN00283,3,5,4078.84,Bank Transfer,2024-03-27,Mar 2024
TXN00284,3,4,915.08,PayNow,2024-02-16,Feb 2024
TXN00285,8,5,3206.82,PayPal,2024-03-01,Mar 2024
TXN00286,4,3,9673.17,PayPal,2024-02-29,Feb 2024
TXN00287,6,5,9852.18,PayPal,2024-02-19,Feb 2024
TXN00288,7,5,5510.87,Bank Transfer,2024-03-13,Mar 2024
TXN00289,3,3,995.71,PayPal,2024-02-21,Feb 2024
TXN00290,2,5,8586.08,PayNow,2024-04-05,Apr 2024
TXN00291,3,3,4768.53,Bank Transfer,2024-01-22,Jan 2024
TXN00292,2,2,8258.68,PayNow,2024-04-21,Apr 2024
TXN00293,7,1,4266.31,PayNow,2024-01-07,Jan 2024
TXN00294,7,1,4061.67,Credit Card,2024-03-01,Mar 2024
TXN00295,2,3,8018.12,Bank Transfer,2024-03-22,Mar 2024
TXN00296,5,4,7112.68,Bank Transfer,2024-01-10,Jan 2024
TXN00297,8,5,549.89,Credit Card,2024-04-30,Apr 2024
TXN00298,5,2,8432.15,PayPal,2024-01-05,Jan 2024
TXN00299,5,2,3360.94,Credit Card,2024-01-29,Jan 2024
TXN00300,7,5,4842.58,Credit Card,2024-03-02,Mar 2024
TXN00301,1,5,5962.95,Bank Transfer,2024-05-07,May 2024
TXN00302,7,1,6340.69,Bank Transfer,2024-03-15,Mar 2024
TXN00303,7,2,6811.53,Credit Card,2024-05-26,May 2024
TXN00304,6,1,9557.33,Credit Card,2024-05-14,May 2024
TXN00305,8,1,6538.87,PayNow,2024-04-09,Apr 2024
TXN00306,1,3,7990.94,PayNow,2024-03-05,Mar 2024
TXN00307,2,5,7484.28,PayNow,2024-03-02,Mar 2024
TXN00308,1,3,5687.13,Bank Transfer,2024-02-04,Feb 2024
TXN00309,8,2,8209.23,Credit Card,2024-04-28,Apr 2024
TXN00310,1,3,2415.11,Bank Transfer,2024-04-27,Apr 2024
TXN00311,6,3,5396.14,PayPal,2024-01-11,Jan 2024
TXN00312,1,2,3218.05,Credit Card,2024-03-05,Mar 2024
TXN00313,5,1,8093.75,PayPal,2024-03-25,Mar 2024
TXN00314,8,4,3720.85,Bank Transfer,2024-04-12,Apr 2024
TXN00315,8,3,9280.95,PayNow,2024-05-07,May 2024
TXN00316,7,1,4590.77,Bank Transfer,2024-01-22,Jan 2024
TXN00317,5,3,1474.68,PayNow,2024-05-19,May 2024
TXN00318,5,4,6224.91,PayPal,2024-03-16,Mar 2024
TXN00319,8,3,4747.73,PayNow,2024-02-12,Feb 2024
TXN00320,5,1,1212.89,PayPal,2024-04-21,Apr 2024
TXN00321,3,1,1856.4,PayPal,2024-04-03,Apr 2024
TXN00322,3,1,2741.96,PayNow,2024-01-09,Jan 2024
TXN00323,7,5,807.66,Bank Transfer,2024-04-02,Apr 2024
TXN00324,6,3,4717.42,Credit Card,2024-04-25,Apr 2024
TXN00325,3,5,3986.02,PayNow,2024-05-26,May 2024
TXN00326,4,1,746.18,Bank Transfer,2024-03-12,Mar 2024
TXN00327,7,5,1618.73,PayNow,2024-05-07,May 2024
TXN00328,4,5,3212.98,PayPal,2024-04-24,Apr 2024
TXN00329,2,2,8601.85,PayPal,2024-02-21,Feb 2024
TXN00330,8,1,8199.88,PayNow,2024-02-14,Feb 2024
TXN00331,2,5,5650.63,PayNow,2024-03-29,Mar 2024
TXN00332,3,3,5333.18,Credit Card,2024-02-10,Feb 2024
TXN00333,3,2,8008.54,Credit Card,2024-02-21,Feb 2024
TXN00334,6,4,8134.79,Bank Transfer,2024-04-02,Apr 2024
TXN00335,2,3,4282.52,PayPal,2024-01-23,Jan 2024
TXN00336,7,4,8321.72,Credit Card,2024-05-14,May 2024
TXN00337,6,1,4774.76,PayNow,2024-02-02,Feb 2024
TXN00338,3,2,4609.87,Credit Card,2024-02-02,Feb 2024
TXN00339,3,3,2064.24,PayNow,2024-02-01,Feb 2024
TXN00340,6,5,9001.8,Credit Card,2024-02-27,Feb 2024
TXN00341,4,5,3107.28,PayNow,2024-03-05,Mar 2024
TXN00342,2,5,6589.38,Bank Transfer,2024-05-16,May 2024
TXN00343,6,5,891.35,Credit Card,2024-02-13,Feb 2024
TXN00344,1,5,3014.23,Bank Transfer,2024-01-21,Jan 2024
TXN00345,7,5,6570.42,PayPal,2024-05-26,May 2024
TXN00346,5,3,5087.98,PayPal,2024-05-19,May 2024
TXN00347,8,1,7041.83,Bank Transfer,2024-03-17,Mar 2024
TXN00348,7,4,4912.2,PayNow,2024-04-22,Apr 2024
TXN00349,6,3,7474.9,PayNow,2024-02-06,Feb 2024
TXN00350,3,3,5392.31,Credit Card,2024-04-12,Apr 2024
TXN00351,4,4,1663.96,PayPal,2024-03-22,Mar 2024
TXN00352,3,1,980.75,PayPal,2024-03-04,Mar 2024
TXN00353,4,2,8228.04,PayNow,2024-04-17,Apr 2024
TXN00354,3,4,9961.71,PayPal,2024-02-18,Feb 2024
TXN00355,5,4,720.17,PayPal,2024-05-07,May 2024
TXN00356,8,2,2543.87,PayNow,2024-05-09,May 2024
TXN00357,1,3,5201.49,PayPal,2024-01-13,Jan 2024
TXN00358,1,1,4593.81,PayNow,2024-03-14,Mar 2024
TXN00359,7,3,929.8,Credit Card,2024-04-03,Apr 2024
TXN00360,4,3,5755.62,Credit Card,2024-05-25,May 2024
TXN00361,8,5,3157.35,Credit Card,2024-04-08,Apr 2024
TXN00362,2,4,4045.38,PayNow,2024-02-02,Feb 2024
TXN00363,6,2,2391.05,PayPal,2024-05-22,May 2024
TXN00364,1,1,869.68,PayNow,2024-05-08,May 2024
TXN00365,8,2,6259.47,Bank Transfer,2024-05-01,May 2024
TXN00366,6,2,4233.07,PayNow,2024-03-24,Mar 2024
TXN00367,8,5,3348.01,Credit Card,2024-03-27,Mar 2024
TXN00368,6,1,9809.03,PayNow,2024-04-04,Apr 2024
TXN00369,8,3,9687.17,Bank Transfer,2024-01-07,Jan 2024
TXN00370,8,2,5480.21,PayPal,2024-01-14,Jan 2024
TXN00371,4,1,5939.42,Credit Card,2024-02-07,Feb 2024
TXN00372,1,4,3480.08,Bank Transfer,2024-02-18,Feb 2024
TXN00373,4,4,5267.29,PayPal,2024-04-15,Apr 2024
TXN00374,3,5,2469.75,PayNow,2024-01-16,Jan 2024
TXN00375,7,3,9588.51,PayPal,2024-05-02,May 2024
TXN00376,6,5,3865.73,PayNow,2024-05-16,May 2024
TXN00377,4,2,3150.56,PayNow,2024-05-03,May 2024
TXN00378,5,3,7196.56,PayPal,2024-02-27,Feb 2024
TXN00379,8,3,5824.63,PayNow,2024-03-22,Mar 2024
TXN00380,2,5,6927.91,PayPal,2024-03-14,Mar 2024
TXN00381,6,2,3259.3,PayNow,2024-04-11,Apr 2024
TXN00382,6,4,6731.73,PayPal,2024-01-21,Jan 2024
TXN00383,4,5,3075.76,PayNow,2024-02-24,Feb 2024
TXN00384,2,5,7538.46,Bank Transfer,2024-02-05,Feb 2024
TXN00385,1,5,2643.88,Bank Transfer,2024-03-03,Mar 2024
TXN00386,2,4,3637.79,PayPal,2024-01-14,Jan 2024
TXN00387,3,1,9662.93,Bank Transfer,2024-01-26,Jan 2024
TXN00388,8,4,6680.12,PayNow,2024-04-14,Apr 2024
TXN00389,5,1,9125.4,Credit Card,2024-03-23,Mar 2024
TXN00390,4,5,7517.52,Credit Card,2024-05-26,May 2024
TXN00391,7,2,9372.26,Credit Card,2024-02-14,Feb 2024
TXN00392,8,2,9397.78,PayNow,2024-04-11,Apr 2024
TXN00393,1,3,5895.64,Credit Card,2024-01-10,Jan 2024
TXN00394,5,4,9896.44,PayPal,2024-03-26,Mar 2024
TXN00395,8,3,2331.71,Credit Card,2024-02-04,Feb 2024
TXN00396,3,4,6658.71,Bank Transfer,2024-03-25,Mar 2024
TXN00397,6,3,5893.92,Bank Transfer,2024-01-04,Jan 2024
TXN00398,7,4,5395.17,Credit Card,2024-02-14,Feb 2024
TXN00399,2,2,9826.01,PayPal,2024-04-12,Apr 2024
TXN00400,4,1,2977.46,Bank Transfer,2024-03-23,Mar 2024
TXN00401,5,3,3368.49,Credit Card,2024-04-24,Apr 2024
TXN00402,6,2,1090.18,Credit Card,2024-03-07,Mar 2024
TXN00403,5,2,4351.46,PayNow,2024-04-29,Apr 2024
TXN00404,5,3,6338.94,Bank Transfer,2024-01-31,Jan 2024
